data,palavra
03/06/2025,treno
04/06/2025,carne
05/06/2025,fotos
06/06/2025,vento
07/06/2025,piano
08/06/2025,tigre
09/06/2025,trigo
10/06/2025,salas
11/06/2025,gruta
12/06/2025,chave
13/06/2025,ducha
14/06/2025,noite
15/06/2025,fundo
16/06/2025,cedro
17/06/2025,lobos
18/06/2025,lente
19/06/2025,ninho
20/06/2025,filho
21/06/2025,farol
22/06/2025,barco
23/06/2025,nuvem
24/06/2025,coral
25/06/2025,cisco
26/06/2025,bolsa
27/06/2025,risco
28/06/2025,folha
29/06/2025,surto
30/06/2025,claro
01/07/2025,ponto
02/07/2025,meias
03/07/2025,brisa
04/07/2025,frase
05/07/2025,rolos
06/07/2025,tinta
07/07/2025,marca
08/07/2025,grilo
09/07/2025,pedra
10/07/2025,festa
11/07/2025,leite
12/07/2025,ceira
13/07/2025,sabor
14/07/2025,votos
15/07/2025,linha
16/07/2025,fruto
17/07/2025,dores
18/07/2025,tempo
19/07/2025,vinho
20/07/2025,cofre
21/07/2025,zelar
22/07/2025,livro
23/07/2025,calor
24/07/2025,blusa
25/07/2025,bravo
26/07/2025,meigo
27/07/2025,trupe
28/07/2025,ceder
29/07/2025,mosca
30/07/2025,forno
31/07/2025,amplo